姓名,年龄,电话,邮箱
monkey2,22,186xxx,monkey2@51reboot.com
monkey3,23,132xxx,monkey3@51reboot.com
monkey1,21,132xxx,monkey1@51reboot.com
monkey5,25,132xxx,monkey5@51reboot.com
monkey6,26,132xxx,monkey6@51reboot.com
monkey7,27,132xxx,monkey7@51reboot.com
monkey8,28,132xxx,monkey8@51reboot.com
monkey,18,132xxx,monkey8@51reboot.com
monkey9,19,132xxx,monkey9@51reboot.com
monkey10,20,132xxx,monkey10@51reboot.com
monkey11,21,188xxx,monkey11@51reboot.com
monkey13,21,132xxx,monkey13@51reboot.com
monkey14,22,132xxx,monkey14@51reboot.com
